Date,Open,High,Low,Close,Volume
2020-01-02,150.0902625907942,151.93353980620552,149.6648931447306,151.82955932617188,22622100
2020-01-03,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200
2020-01-06,148.4833066063073,150.3927598163758,147.9444947187136,150.3265838623047,20813700
2020-01-07,150.60071074881336,150.93154722601824,148.71016714066076,148.9559326171875,21634100
2020-01-08,150.23203354534573,151.9997015405678,149.3056712613287,151.32855224609375,27746500
2020-01-09,152.98282871045436,153.34203671349377,152.21716063972897,153.21914672851562,21385000
2020-01-10,153.909144329844,154.2872472384287,152.35888490302304,152.5101318359375,20725900
2020-01-13,152.90714658550698,154.3723206204449,152.43451073060453,154.34396362304688,21626500
2020-01-14,154.44794943449625,154.6464628468558,152.86934735532083,153.2569122314453,23477400
2020-01-15,153.72008555883195,154.9678511775123,153.6728335108503,154.2494354248047,21417900
2020-01-16,155.35541857174923,157.1419816102334,155.05292468702913,157.0758056640625,23865400
2020-01-17,158.25743559260854,158.30470207707603,156.37633913096872,157.9549560546875,34371700
2020-01-21,157.55789835006,158.98526801417273,157.32158039758605,157.38775634765625,29517200
2020-01-22,158.2385053152415,158.3235907455817,156.6126365444651,156.6315460205078,24138800
2020-01-23,157.09467984414908,157.671296061612,156.2250317565114,157.59567260742188,19680800
2020-01-24,158.3424825375192,158.36139201317255,155.44995298181732,156.00765991210938,24918100
2020-01-27,152.3305655221047,154.43853230791845,151.43256007468932,153.3987274169922,32078100
2020-01-28,154.81662932456064,156.68826363216436,154.14549435848608,156.40469360351562,24899900
2020-01-29,158.6544086158923,159.51460937852576,156.62208010292088,158.8434600830078,34754500
2020-01-30,164.52455005778435,164.52455005778435,161.44295493874296,163.3240509033203,51597500
2020-01-31,162.78529948092563,162.964889047235,160.29922947457416,160.9136505126953,36142700
2020-02-03,161.10265199098285,164.9499148069927,161.07429499333622,164.83648681640625,30107000
2020-02-04,167.44545356772943,170.75390501577263,166.66087620777762,170.26235961914062,36433300
2020-02-05,173.95834366438353,174.11903811687424,168.64592151325192,170.0543670654297,39186300
2020-02-06,171.06586491451017,173.7598957252574,170.2056639835047,173.58029174804688,27751400
2020-02-07,172.8429430262262,175.47079730341426,172.49318267512277,173.82601928710938,33529100
2020-02-10,173.53300042903595,178.50512495189932,173.22105900121804,178.37278747558594,35844300
2020-02-11,180.21609331585088,180.26335979856873,173.45740457465837,174.34596252441406,53159900
2020-02-12,175.42356297727224,175.67879043188398,171.89770278781828,174.60118103027344,47062900
2020-02-13,173.06037316286404,176.03797374039397,172.86185972663358,173.65589904785156,35295800
2020-02-14,173.22103937911754,175.26282971697995,172.65387058847747,175.20611572265625,23149500
2020-02-18,175.4519100559709,177.42752477655208,175.34792957469273,176.98324584960938,27792200
